,back2mid_deg,earL2earR_deg
126,271.9760564164224,176.42787059026412
127,272.10698433556456,176.33113283875883
128,271.7472258863207,176.33318217542745
129,271.72825869628804,176.4041896084455
130,271.9054020649247,176.47626319867538
131,272.34252258108376,176.54065084186917
132,272.39255300005675,176.58995423769335
133,272.5468359673886,176.61189756632513
134,272.7854017623369,176.66990836305115
135,273.0760594755234,178.0967758373694
136,273.30513543112687,179.43752786363015
137,273.3732691689047,179.51020577723395
138,273.21475146748406,178.72781053004383
139,272.9091558591641,176.69436341350647
140,272.57780285010404,176.50853674877715
141,271.5056329813251,176.31494442843612
142,269.1343035091131,176.16249458060548
143,266.4234463740935,175.74773908843133
144,262.2372494583073,174.25987210660418
145,258.96727867085167,170.94224698049874
146,254.56499524105087,165.5359260608731
147,248.37253203917876,158.77889114255748
148,241.6260371307061,153.06198422089838
149,235.67538370025576,147.5107409879912
150,231.67054709937568,143.53879192578364
151,227.89196792096405,140.39807449162612
152,224.95906304834995,138.5499307100801
153,221.83460347592592,136.5826139837331
154,218.9150921043481,132.947903375562
155,216.71144296398316,127.75907742364362
156,212.39084315136103,120.52226623004492
157,210.83130268637498,113.37549596473666
158,207.0926944917349,106.91090537730419
159,203.16306040718595,103.27708383090815
160,199.62311998419347,100.76368131118346
161,195.93193886970326,100.1304186339944
162,195.11366805810312,99.38228402519546
163,193.6527294883503,97.19566353297049
164,193.96368321907244,95.38552629643449
165,191.6334923858255,93.43892654512952
166,188.99932074500558,92.75782509711175
167,184.98947686363698,94.01817399068719
168,180.19902161890903,93.86329404685097
169,177.45488213064252,93.34634139227562
170,176.5249057241749,92.58983525032141
171,175.64440596831562,91.68718356983041
172,175.7587376318622,91.87175056040911
173,175.65941215271565,91.9339740909352
174,174.5225380660003,92.02240387316456
175,171.76808220476275,92.01459389216835
176,168.7323057001663,91.43497900869527
177,165.74655549598344,90.66812609259959
178,165.52822795101034,90.09362916261647
179,165.70368048390327,90.02718346794067
180,169.13415393629626,90.64143788804802
181,174.48303210828442,91.84174861441923
182,179.8483060821378,94.81437727782044
183,183.0393769053253,97.73998636460466
184,185.54447739453155,99.77775136932325
185,187.9782103037675,100.65718917526128
186,190.44511461195913,100.88919470357322
187,192.60668892465043,101.16311357769764
188,192.78700042914224,102.42341473773064
189,193.38821162466198,104.39318710249857
190,194.0685100937235,107.20671529027837
191,193.94025537580256,109.60041025156255
192,191.40538584067838,112.20406461339914
193,188.13142953712037,111.64047288284644
194,186.17253777099728,109.12948457142714
195,186.34381720514884,105.10359921440448
